,True,Predicted,RF,Total Duplication,Mapped Interval,Predictive Distribution
0,"(((B_1:1.5503539765393965,C_1:1.5503539765393965):0.6309095426579543,(A_2:0.6334963578599846,A_1:0.6334963578599846):1.5477671613373662):0.9689372973738335,(A_4:1.0315079107000866,A_3:1.0315079107000866):2.1186929058710975):0.0;","(((B_1,C_1),(A_1,A_2)),(A_3,A_4));",0,0,11811481168.0,"{'(((B_1,C_1),(A_1,A_2)),(A_3,A_4));': 1.0, '(((B_1,C_1),(A_1,A_3)),(A_2,A_4));': 0.0, '(((B_1,C_1),(A_1,A_4)),(A_2,A_3));': 0.0, '(((B_1,C_1),(A_2,A_3)),(A_1,A_4));': 0.0, '(((B_1,C_1),(A_2,A_4)),(A_1,A_3));': 0.0, '(((B_1,C_1),(A_3,A_4)),(A_1,A_2));': 0.0}"
1,"((B_2:0.692967609676066,B_3:0.692967609676066):1.9600294578771706,(B_1:2.4221417729726222,(A_1:2.3965806720300478,C_1:2.3965806720300478):0.025561100942574255):0.2308552945806146):0.0;","((B_2,B_3),(B_1,(A_1,C_1)));",0,0,114111121313.0,"{'((B_1,B_2),(B_3,(A_1,C_1)));': 0.0, '((B_1,B_3),(B_2,(A_1,C_1)));': 0.0, '((B_2,B_3),(B_1,(A_1,C_1)));': 1.0}"
2,"((A_2:2.050814200864494,(B_2:1.3774145693352557,C_2:1.3774145693352557):0.6733996315292383):1.2363483832429234,((B_1:2.5149000224225477,A_1:2.5149000224225477):0.7125429976721815,C_1:3.2274430200947295):0.05971956401268752):0.0;","((A_2,(B_2,C_2)),((B_1,A_1),C_1));",0,0,111711111311717.0,"{'((A_1,(B_1,C_1)),((B_2,A_2),C_2));': 0.0, '((A_1,(B_1,C_2)),((B_2,A_2),C_1));': 0.0, '((A_1,(B_2,C_1)),((B_1,A_2),C_2));': 0.0, '((A_1,(B_2,C_2)),((B_1,A_2),C_1));': 0.0, '((A_2,(B_1,C_1)),((B_2,A_1),C_2));': 0.0, '((A_2,(B_1,C_2)),((B_2,A_1),C_1));': 0.0, '((A_2,(B_2,C_1)),((B_1,A_1),C_2));': 0.0, '((A_2,(B_2,C_2)),((B_1,A_1),C_1));': 1.0}"
3,"((C_1:1.7747564457384661,(B_2:1.4708507757374978,B_1:1.4708507757374978):0.30390567000096835):1.1747234764262018,A_1:2.9494799221646675):0.0;","((C_1,(B_1,B_2)),A_1);",0,0,11189115.0,"{'((C_1,(B_1,B_2)),A_1);': 1.0}"
4,"(A_1:2.046082162820378,(C_1:1.2991771715019773,B_1:1.2991771715019773):0.7469049913184005):0.0;","(A_1,(C_1,B_1));",0,0,111711.0,"{'(A_1,(C_1,B_1));': 1.0}"
5,"((C_1:2.230621744207454,A_1:2.230621744207454):0.45954468801299714,(B_2:0.8216776511317417,B_1:0.8216776511317417):1.8684887810887094):0.0;","((C_1,A_1),(B_1,B_2));",0,0,111211512.0,"{'((C_1,A_1),(B_1,B_2));': 1.0}"
6,"((C_1:2.00242500059525,(A_2:1.6463890515489856,A_1:1.6463890515489856):0.35603594904626457):0.4800810039070795,B_1:2.4825060045023295):0.0;","((C_1,(A_1,A_2)),B_1);",0,0,111911113.0,"{'((C_1,(A_1,A_2)),B_1);': 1.0}"
7,"(A_1:3.695947127225761,(C_1:1.3813617909838125,B_1:1.3813617909838125):2.314585336241948):0.0;","(A_1,(C_1,B_1));",0,0,111719.0,"{'(A_1,(C_1,B_1));': 1.0}"
8,"(A_1:2.031868618022329,(C_2:1.9240333901670652,(B_1:1.3691087604486232,C_1:1.3691087604486232):0.554924629718442):0.1078352278552639):0.0;","(A_1,(C_2,(B_1,C_1)));",0,0,111171011.0,"{'(A_1,(C_1,(B_1,C_2)));': 0.0, '(A_1,(C_2,(B_1,C_1)));': 1.0}"
9,"(B_1:2.245823543667624,(C_1:2.223246785951268,A_1:2.223246785951268):0.0225767577163558):0.0;","(B_1,(C_1,A_1));",0,0,1111212.0,"{'(B_1,(C_1,A_1));': 1.0}"
