replicate,duplications,observed_duplications,losses,CNH,RKH,ILS,ILS_DLCPAR
0,6,6,0,0,1,4,3
1,3,3,0,0,0,1,1
2,3,3,0,0,0,1,1
3,4,4,0,0,1,3,2
4,2,2,0,0,1,3,2
5,3,3,0,0,0,2,1
6,1,1,0,0,0,1,1
7,6,6,0,0,2,2,2
8,2,2,0,0,1,2,2
9,1,1,0,0,0,0,0
10,0,0,0,0,0,0,0
11,11,11,0,0,4,2,1
12,1,1,0,0,0,1,1
13,1,1,0,0,0,1,1
14,0,0,0,0,0,0,0
15,1,1,0,0,0,1,1
16,4,4,0,0,0,3,2
17,0,0,0,0,0,1,1
18,2,2,0,0,0,1,1
19,10,10,0,1,4,7,7
20,38,37,0,1,5,25,20
21,11,11,0,0,1,3,3
22,1,1,0,0,1,0,0
23,3,3,0,0,2,3,2
24,6,6,0,0,0,2,2
25,2,2,0,0,0,1,1
26,1,1,0,0,0,2,2
27,2,2,0,0,1,1,1
28,1,1,0,0,0,0,0
29,0,0,0,0,0,0,0
30,1,1,0,0,0,0,0
31,14,12,0,1,4,11,8
32,1,1,0,0,1,0,0
33,5,5,0,0,3,5,4
34,15,15,0,0,4,10,8
35,5,5,0,0,2,4,4
36,41,40,0,0,6,19,15
37,2,2,0,0,0,3,2
38,1,1,0,0,0,0,0
39,2,2,0,0,1,2,1
40,0,0,0,0,0,0,0
41,4,4,0,1,1,4,4
42,4,4,0,0,2,4,3
43,3,3,0,0,0,3,2
44,5,5,0,1,2,2,2
45,2,2,0,0,1,2,1
46,2,2,0,0,0,2,1
47,25,14,0,0,7,12,11
48,3,3,0,0,1,2,1
49,14,14,0,0,2,9,7
50,0,0,0,0,0,1,1
51,12,12,0,1,4,4,4
52,10,10,0,1,2,8,7
53,2,2,0,0,1,1,1
54,1,1,0,0,0,1,1
55,1,1,0,0,1,1,1
56,4,4,0,0,0,2,2
57,0,0,0,0,0,0,0
58,8,8,0,0,1,5,4
59,2,2,0,0,1,0,0
60,2,2,0,0,1,2,1
61,3,3,0,0,0,4,3
62,1,1,0,0,1,1,1
63,2,2,0,0,0,0,0
64,4,4,0,0,3,3,3
65,6,6,0,0,3,5,4
66,5,5,0,0,2,2,1
67,16,16,0,0,5,7,7
68,8,8,0,0,1,8,6
69,2,2,0,0,0,1,1
70,1,1,0,0,1,1,1
71,2,2,0,0,1,2,2
72,3,3,0,0,1,3,2
73,2,2,0,0,0,1,1
74,7,7,0,0,0,3,3
75,0,0,0,0,0,0,0
76,2,2,0,0,0,4,2
77,3,3,0,0,2,1,1
78,14,14,0,0,2,7,6
79,1,1,0,0,0,1,1
80,2,2,0,0,1,3,2
81,0,0,0,0,0,1,1
82,3,3,0,0,0,1,1
83,6,6,0,0,1,6,5
84,4,4,0,0,0,2,2
85,3,3,0,0,0,1,1
86,2,2,0,0,0,2,2
87,2,2,0,0,0,0,0
88,0,0,0,0,0,0,0
89,1,1,0,0,0,1,1
90,3,3,0,0,1,4,4
91,7,7,0,0,0,1,1
92,5,5,0,0,1,2,1
93,3,3,0,0,3,4,4
94,1,1,0,0,0,2,1
95,3,3,0,0,0,3,2
96,12,12,0,0,3,7,6
97,1,1,0,0,0,0,0
98,4,4,0,0,1,3,2
99,2,2,0,0,0,1,1
100,0,0,0,0,0,0,0
101,3,3,0,0,0,2,1
102,7,7,0,0,2,5,5
103,2,2,0,0,0,2,1
104,2,2,0,0,0,1,1
105,7,7,0,0,3,4,3
106,0,0,0,0,0,0,0
107,1,1,0,0,0,1,1
108,2,2,0,0,0,3,2
109,28,28,0,0,5,14,13
110,1,1,0,0,1,1,1
111,2,2,0,0,0,0,0
112,1,1,0,0,0,0,0
113,1,1,0,0,0,1,1
114,2,2,0,0,0,2,1
115,16,16,0,0,5,7,4
116,2,2,0,0,1,0,0
117,2,2,0,0,1,2,2
118,12,12,0,0,0,9,6
119,11,11,0,0,2,10,8
120,18,15,0,0,2,18,12
121,8,8,0,0,1,2,2
122,2,2,0,0,0,0,0
123,1,1,0,0,1,2,1
124,2,2,0,0,1,1,1
125,1,1,0,0,0,0,0
126,1,1,0,0,0,0,0
127,8,8,0,0,1,4,4
128,18,18,0,0,3,9,9
129,4,4,0,1,2,3,3
130,22,22,0,0,7,18,14
131,0,0,0,0,0,0,0
132,1,1,0,0,1,1,1
133,15,15,0,0,4,14,10
134,4,4,0,0,0,2,2
135,0,0,0,0,0,0,0
136,5,5,0,0,0,4,3
137,2,2,0,0,1,1,1
138,5,5,0,0,4,0,0
139,0,0,0,0,0,0,0
140,7,7,0,0,0,4,4
141,1,1,0,0,1,2,2
142,5,5,0,0,3,4,3
143,1,1,0,0,1,0,0
144,2,2,0,0,0,1,1
145,3,3,0,0,0,1,1
146,0,0,0,0,0,0,0
147,8,8,0,0,1,3,2
148,18,18,0,0,5,11,9
149,7,7,0,0,0,4,4
150,12,12,0,0,4,6,5
151,7,7,0,0,3,4,4
152,1,1,0,0,0,1,1
153,0,0,0,0,0,0,0
154,7,7,0,0,2,5,5
155,1,1,0,0,0,0,0
156,6,6,0,0,2,4,3
157,4,4,0,0,0,3,3
158,5,5,0,0,2,5,4
159,3,3,0,0,1,0,0
160,8,6,0,0,2,4,3
161,2,2,0,0,1,2,1
162,2,2,0,0,1,2,2
163,2,2,0,0,1,2,2
164,24,21,0,0,5,15,11
165,1,1,0,0,0,0,0
166,1,1,0,0,0,0,0
167,14,8,0,0,3,7,6
168,4,4,0,0,0,4,3
169,4,4,0,0,1,3,2
170,2,2,0,0,1,2,2
171,2,2,0,0,1,2,2
172,4,4,0,0,0,4,3
173,3,3,0,0,1,3,3
174,1,1,0,0,0,0,0
175,7,7,0,0,0,4,4
176,1,1,0,0,0,0,0
177,7,7,0,0,0,2,1
178,6,6,0,1,1,2,2
179,11,11,0,0,3,6,6
180,2,2,0,0,0,1,1
181,13,11,0,0,1,3,3
182,4,4,0,1,4,4,4
183,7,7,0,0,1,2,2
184,4,4,0,0,2,4,2
185,2,2,0,0,0,1,1
186,7,7,0,0,3,6,5
187,1,1,0,0,0,1,1
188,20,18,0,1,6,9,9
189,2,2,0,0,0,1,1
190,6,6,0,0,1,1,1
191,3,3,0,0,2,3,3
192,2,2,0,0,0,3,2
193,5,5,0,0,3,6,5
194,2,2,0,0,0,1,1
195,4,4,0,0,2,3,3
196,0,0,0,0,0,1,1
197,1,1,0,0,1,2,2
198,2,2,0,0,0,0,0
199,3,3,0,1,2,7,5
200,1,1,0,0,0,1,1
201,3,3,0,0,3,3,3
202,7,7,0,0,4,8,5
203,1,1,0,0,0,0,0
204,6,6,0,0,1,2,2
205,0,0,0,0,0,0,0
206,1,1,0,0,0,1,1
207,4,4,0,0,1,2,2
208,4,4,0,0,1,0,0
209,6,6,0,0,0,2,2
210,1,1,0,0,0,0,0
211,3,3,0,0,1,1,1
212,3,3,0,0,0,2,2
213,8,8,0,1,3,5,5
214,4,4,0,0,1,4,4
215,2,2,0,0,0,2,2
216,2,2,0,0,2,3,3
217,5,5,0,0,0,3,3
218,0,0,0,0,0,0,0
219,1,1,0,0,0,0,0
220,2,2,0,0,0,0,0
221,3,3,0,0,0,0,0
222,2,2,0,0,0,1,1
223,9,9,0,0,1,9,6
224,3,3,0,0,0,3,2
225,8,8,0,0,3,10,7
226,1,1,0,0,1,0,0
227,3,3,0,0,0,1,1
228,0,0,0,0,0,0,0
229,9,8,0,0,4,9,6
230,2,2,0,0,0,0,0
231,3,3,0,0,0,3,2
232,2,2,0,0,0,0,0
233,1,1,0,0,0,1,1
234,5,5,0,0,3,1,1
235,13,13,0,0,5,10,9
236,1,1,0,0,0,2,1
237,2,2,0,0,0,3,2
238,12,12,0,1,3,10,8
239,1,1,0,0,0,1,1
240,4,4,0,0,1,1,1
241,1,1,0,0,0,2,2
242,13,13,0,0,3,10,7
243,1,1,0,0,0,0,0
244,0,0,0,0,0,0,0
245,1,1,0,0,0,1,1
246,1,1,0,0,0,0,0
247,26,24,0,0,6,20,16
248,2,2,0,0,1,1,1
249,1,1,0,0,0,0,0
250,4,4,0,0,1,4,2
251,8,8,0,0,2,4,3
252,4,4,0,0,0,1,1
253,6,6,0,0,1,3,3
254,0,0,0,0,0,0,0
255,7,7,0,0,3,6,4
256,1,1,0,0,0,0,0
257,6,6,0,0,4,3,3
258,7,7,0,0,1,2,2
259,1,1,0,0,1,2,1
260,0,0,0,0,0,0,0
261,6,6,0,0,0,3,2
262,3,3,0,0,0,2,2
263,3,3,0,0,0,1,1
264,9,9,0,0,1,8,6
265,4,4,0,0,0,1,1
266,10,10,0,0,0,6,5
267,2,2,0,0,1,1,1
268,3,3,0,0,2,2,1
269,3,3,0,0,0,0,0
270,4,4,0,0,1,1,1
271,3,3,0,0,0,1,1
272,13,13,0,0,2,6,6
273,2,2,0,0,0,2,1
274,0,0,0,0,0,0,0
275,5,5,0,0,2,6,4
276,0,0,0,0,0,0,0
277,4,4,0,0,1,3,2
278,15,15,0,0,4,12,10
279,4,4,0,0,1,3,2
280,8,8,0,0,2,6,6
281,7,7,0,0,1,7,6
282,4,4,0,0,3,2,2
283,5,5,0,0,3,4,3
284,2,2,0,0,1,2,1
285,5,5,0,0,1,1,1
286,4,4,0,0,0,0,0
287,3,3,0,0,1,3,3
288,2,2,0,0,1,2,1
289,5,5,0,0,1,4,3
290,5,5,0,0,0,3,2
291,1,1,0,0,0,1,1
292,0,0,0,0,0,1,1
293,7,7,0,0,1,5,4
294,0,0,0,0,0,0,0
295,2,2,0,0,0,0,0
296,1,1,0,0,0,0,0
297,5,5,0,0,0,1,1
298,3,3,0,0,0,2,1
299,0,0,0,0,0,1,1
300,0,0,0,0,0,0,0
301,3,3,0,0,1,1,1
302,7,7,0,0,1,3,3
303,3,3,0,0,2,1,1
304,6,6,0,0,1,3,2
305,2,2,0,0,0,2,1
306,1,1,0,0,0,0,0
307,0,0,0,0,0,0,0
308,6,6,0,0,1,4,3
309,2,2,0,0,1,3,2
310,1,1,0,0,0,3,2
311,2,2,0,0,0,1,1
312,6,6,0,0,4,3,3
313,2,2,0,0,0,2,1
314,3,3,0,0,2,1,1
315,5,5,0,0,1,4,3
316,2,2,0,0,0,0,0
317,8,8,0,0,0,5,4
318,0,0,0,0,0,0,0
319,1,1,0,0,0,0,0
320,1,1,0,0,0,0,0
321,1,1,0,0,0,1,1
322,9,9,0,0,1,6,5
323,21,21,0,0,5,17,15
324,6,6,0,0,1,5,4
325,2,2,0,0,0,1,1
326,6,6,0,0,2,4,3
327,1,1,0,0,0,1,1
328,9,8,0,0,2,5,5
329,3,3,0,0,1,3,2
330,6,6,0,0,0,7,5
331,3,3,0,0,0,1,1
332,8,8,0,0,1,4,4
333,7,7,0,0,4,9,6
334,1,1,0,0,0,1,1
335,3,3,0,0,0,2,1
336,4,4,0,0,2,3,2
337,2,2,0,0,1,1,1
338,5,5,0,0,0,3,2
339,10,9,0,0,0,6,6
340,1,1,0,0,1,2,2
341,10,10,0,0,3,10,6
342,3,3,0,0,1,1,1
343,35,35,0,0,8,20,18
344,2,2,0,0,0,0,0
345,1,1,0,0,0,2,2
346,1,1,0,0,0,1,1
347,0,0,0,0,0,0,0
348,5,5,0,0,2,6,4
349,7,7,0,0,1,1,1
350,1,1,0,0,1,1,1
351,1,1,0,0,1,1,1
352,16,16,0,0,1,8,5
353,1,1,0,0,0,2,1
354,2,2,0,0,0,1,1
355,2,2,0,0,1,4,3
356,1,1,0,0,0,0,0
357,8,8,0,0,3,7,4
358,0,0,0,0,0,0,0
359,3,3,0,0,1,0,0
